股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈(TTM),股息率,市值
SH600837,海通证券,10.35,+0.5,5.08%,21.69%,92374788,944191720,1.04%,24.071,2.029%,135214470000
SH600188,兖矿能源,19.36,+0.12,0.62%,-0.95%,47261144,928943562,1.05%,6.282,14.786%,144077908339
SH601601,中国太保,29.83,-0.43,-1.42%,26.42%,30817138,923787673,0.45%,12.562,3.422%,286974785603
SH600546,山煤国际,18.18,-0.57,-3.04%,40.2%,48212457,895132992,2.43%,5.553,9.852%,36041052625
SH601696,中银证券,11.97,+0.31,2.66%,13.52%,75170351,888322099,2.71%,35.592,0.251%,33252660000
SH600887,伊利股份,26.11,+0.33,1.28%,-12.74%,34175380,886155487,0.54%,17.308,3.982%,166224226292
SH600050,中国联通,5.2,+0.02,0.39%,17.12%,169780391,880093667,0.55%,20.744,2.355%,165380760022
SH600418,江淮汽车,13.52,+0.22,1.65%,2.97%,64546563,870008823,2.96%,-41.219,,29527812374
SH600839,四川长虹,4.19,+0.12,2.95%,60.28%,204033641,849659328,4.42%,37.339,0.957%,19342063290
SH603986,兆易创新,97.73,+0.38,0.39%,-4.1%,8569769,838886812,1.29%,75.601,0.635%,65176757390
SH601162,天风证券,3.46,+0.06,1.76%,20.56%,239243659,823470650,2.76%,-29.721,,29983520825
SH600633,浙数文化,15.33,+0.03,0.2%,88.28%,54292491,823425925,4.29%,21.858,0.523%,19403648918
SH601857,中国石油,8.15,+0.09,1.12%,68.79%,100955708,823289749,0.06%,9.747,5.276%,1491620969217
SH600702,舍得酒业,144.34,+1.36,0.95%,-8.37%,5697393,822943161,1.72%,27.176,1.039%,48093507609
SH603767,中马传动,20.23,+0.16,0.8%,194.58%,39851392,822659462,12.96%,104.253,1.481%,6219612350
SH603918,金桥信息,26.62,+0.13,0.49%,261.94%,29908208,795689901,8.18%,257.612,0.075%,9789745592
SH601788,光大证券,17.42,+0.17,0.99%,18.6%,45851968,794579363,1.17%,23.124,1.207%,80319920671
SH600900,长江电力,21.98,+0.14,0.64%,8.81%,36021662,791689708,0.16%,28.807,3.881%,537811425398
SH600079,人福医药,24.42,+1.28,5.53%,2.86%,32322893,786857098,2.21%,17.297,0.656%,39869501205
SH600100,同方股份,7.58,+0.69,10.01%,75.87%,106109528,778330733,3.58%,-86.237,,25395256665
SH600129,太极集团,40.06,+2.53,6.74%,33.27%,19051308,757928064,3.42%,28.346,,22309043205
SH600118,中国卫星,27.38,-0.42,-1.51%,27.41%,27312208,754053832,2.31%,170.358,0.274%,32376552516
